95,0,0,0,5,0,0,54.4,7.21,4.74,319.7,25.51,32.06
85,0,5,0,10,0,0,54.4,7.21,4.74,319.7,25.51,33.784
100,0,0,0,0,0,0,40,7.97,4.62,221,3.29,12.4
100,0,0,0,0,0,0,42.8,4.67,3.33,235,1.76,8.96
100,0,0,0,0,0,0,40.55,14.33,8.5,242,19.54,19.31
93.21,0,0,0.4,0.01,0.38,6,85.56,9.44,3.96,268,44.53,34.475
100,0,0,0,0,0,0,54.4,31.82,8.55,197.4,29.48,11
100,0,0,0,0,0,0,54.44444444,1.57,98.43,173,0,12.06625
100,0,0,0,0,0,0,21.66666667,5.11,94.89,189,0,8.61875
100,0,0,0,0,0,0,57.22222222,5.11,94.89,189,0,13.1005
100,0,0,0,0,0,0,87.77777778,5.11,94.89,189,0,19.306
100,0,0,0,0,0,0,57.22222222,3.48,66.9,189,31.88,13.79
90,0,10,0,0,0,0,57.22222222,5.11,94.89,189,0,17.2375
100,0,0,0,0,0,0,65.55555556,0,0,219,0,15.169
100,0,0,0,0,0,0,85,0,0,219,0,19.9955
95,0,4.89,0.029,0.081,0,0,71.1,13.652,11.027,227.94,4.405,16
85,0,5,0,10,0,0,71.1,13.652,11.027,227.94,4.405,21
100,0,0,0,0,0,0,32.2,14.28,10.74,206,10.5,6.9
100,0,0,0,0,0,0,40.6,14.28,10.74,206,10.5,8.28
100,0,0,0,0,0,0,57.2,14.28,10.74,206,10.5,11.86
100,0,0,0,0,0,0,48.9,22.62,8.6,254,12.5,10.59
100,0,0,0,0,0,0,118.3,28.6,4.43,200,34.2,23.45
100,0,0,0,0,0,0,59,11.35,8.46,233,5.45,12.8
75,25,0,0,0,0,0,40.83,14.28,10.74,206,10.5,7.53
50,50,0,0,0,0,0,40.83,14.28,10.74,206,10.5,6.55
90,0,10,0,0,0,0,40.83,14.28,10.74,206,10.5,11.04
45,45,10,0,0,0,0,40.83,14.28,10.74,206,10.5,8.83
60,20,20,0,0,0,0,40.83,14.28,10.74,206,10.5,14.07
67.5,23,10,0,0,0,0,58.83,14.28,10.74,206,10.5,12.41
45,45,10,0,0,0,0,58.83,14.28,10.74,206,10.5,10.38
60,20,20,0,0,0,0,58.83,14.28,10.74,206,10.5,17.24
90,0,0,10,0,0,0,48.89,22.82,4.43,200,34.34,10.07
90,0,0,10,0,0,0,48.89,22.82,4.43,200,34.34,9.31
80,0,0,20,0,0,0,48.89,22.82,4.43,200,34.34,9.66
90,0,0,10,0,0,0,65.56,22.82,4.43,200,34.34,13.04
80,0,0,20,0,0,0,65.56,22.82,4.43,200,34.34,10.5
80,0,20,0,0,0,0,40.83,14.28,10.74,206,10.5,14.83
68,22,10,0,0,0,0,40.83,14.28,10.74,206,10.5,10.28
40,40,20,0,0,0,0,40.83,14.28,10.74,206,10.5,12.06
75,25,0,0,0,0,0,58.33,14.28,10.74,206,10.5,10.35
50,50,0,0,0,0,0,58.33,14.28,10.74,206,10.5,8.97
90,0,10,0,0,0,0,58.33,14.28,10.74,206,10.5,15.17
80,0,20,0,0,0,0,58.33,14.28,10.74,206,10.5,18.74
55,25,20,0,0,0,0,58.33,14.28,10.74,206,10.5,16.45
90.1,0,9.9,0,0,0,0,59,11.35,8.46,233,5.45,17.5
89.8,0,5.1,0,5.1,0,0,59,11.35,8.46,233,5.45,21.2
100,0,0,0,0,0,0,75.85,19.88,7.94,241.1,13.26,8.715
100,0,0,0,0,0,0,75.85,22.09,9.5,240.3,12.5,8.04
100,0,0,0,0,0,0,84.85,19.88,7.94,241.1,13.26,10.585
100,0,0,0,0,0,0,79.35,22.09,9.5,240.3,12.5,9.475
100,0,0,0,0,0,0,71.35,19.88,7.94,241.1,13.26,8.005
100,0,0,0,0,0,0,82.35,22.09,9.5,240.3,12.5,10.51
100,0,0,0,0,0,0,70.5,23.79,6.98,260.1,16.08,7.57
100,0,0,0,0,0,0,82.35,23.79,6.98,260.1,16.08,11.41
100,0,0,0,0,0,0,70.5,23.92,9.5,239.8,8.28,11.445
100,0,0,0,0,0,0,82.35,23.92,9.5,239.8,8.28,12.895
100,0,0,0,0,0,0,90.35,28.59,7.95,264.9,27.79,11.225
100,0,0,0,0,0,0,84.85,28.59,7.95,264.9,27.79,11.28
100,0,0,0,0,0,0,79.35,28.59,7.95,264.9,27.79,11.295
100,0,0,0,0,0,0,75.85,28.59,7.95,264.9,27.79,11.285
100,0,0,0,0,0,0,71.35,28.59,7.95,264.9,27.79,11.285
100,0,0,0,0,0,0,75.85,22.36,10.19,234.79,2.48,10.005
100,0,0,0,0,0,0,75.85,22.88,8.46,239.91,8.68,8.695
100,0,0,0,0,0,0,117.78,21.42,6.11,292.25,34.94,31.03
100,0,0,0,0,0,0,54.44444444,38.4,51.2,213.83,5.4,9.480290875
100,0,0,0,0,0,0,61.11111111,38.4,51.2,213.83,5.4,10.3421355
100,0,0,0,0,0,0,54.44444444,7.5,82.5,213.83,5,10.3421355
100,0,0,0,0,0,0,54.44444444,38.4,33.7,213.83,22.9,10.3421355
92.5,0,7.5,0,0,0,0,54.44444444,38.4,51.2,213.83,5.4,10.3421355
100,0,0,0,0,0,0,57.77777778,1.2,93.3,230.61,0.5,11.7210869
100,0,0,0,0,0,0,54.44444444,35.5,54.1,263.56,5.4,12.75530045
90,0,10,0,0,0,0,54.44444444,40.3,25.4,213.83,29.3,13.1000383
100,0,0,0,0,0,0,37.77777778,1.9,88.2,263.56,4.9,16.5474168
100,0,0,0,0,0,0,67.77777778,22.9,41.1,231.81,31,16.89215465
87.5,0,0,6.2,6.3,0,0,76.11111111,6.3,40.1,255,48.6,23.16638352
79.2,0,0,12,8.8,0,0,76.11111111,6.3,40.1,255,48.6,23.16638352
86.4,0,10.7,2.9,0,0,0,73.33333333,6.3,40.1,255,48.6,23.09743595
100,0,0,0,0,0,0,112.2222222,28.1,34.2,241.5,32.7,24.14543901
92.25,0,0,7.75,0,0,0,112.2222222,28.1,34.2,241.5,32.7,19.68453124
95,0,4.9,0,0.1,0,0,71.11111111,13.9,76.7,235.9,4.4,16.82320708
100,0,0,0,0,0,0,71.11111111,13.9,76.7,235.9,4.4,15.51320325
100,0,0,0,0,0,0,54.44444444,31.8,33.7,199.2,29.5,10.99024266
90,0,10,0,0,0,0,54.44444444,31.8,33.7,199.2,29.5,13.1000383
100,0,0,0,0,0,0,42.77777778,23.6,52.1,224.1,19.3,10.61792578
100,0,0,0,0,0,0,117.2222222,30.72,27.94,197.2,36.34,23.4421738
95.03,0,4.78,0.01,0.18,0,0,54.44444444,7.66,61.84,330.5,25.5,32.06062005
100,0,0,0,0,0,0,32.22222222,14.28,70.22,215.8,10.5,6.894757
100,0,0,0,0,0,0,40.55555556,14.28,70.22,215.8,10.5,8.2737084
75,25,0,0,0,0,0,40.55555556,14.28,70.22,215.8,10.5,7.529074644
50,50,0,0,0,0,0,40.55555556,14.28,70.22,215.8,10.5,6.536229636
90,0,10,0,0,0,0,40.55555556,14.28,70.22,215.8,10.5,11.07297974
67.5,22.5,10,0,0,0,0,40.55555556,14.28,70.22,215.8,10.5,10.25939842
45,45,10,0,0,0,0,40.55555556,14.28,70.22,215.8,10.5,8.82528896
80,0,20,0,0,0,0,40.55555556,14.28,70.22,215.8,10.5,14.87199085
60,20,20,0,0,0,0,40.55555556,14.28,70.22,215.8,10.5,14.06530428
40,40,20,0,0,0,0,40.55555556,14.28,70.22,215.8,10.5,12.09340378
100,0,0,0,0,0,0,57.22222222,14.28,70.22,215.8,10.5,11.7210869
75,25,0,0,0,0,0,57.22222222,14.28,70.22,215.8,10.5,10.30766172
50,50,0,0,0,0,0,57.22222222,14.28,70.22,215.8,10.5,8.9631841
90,0,10,0,0,0,0,57.22222222,14.28,70.22,215.8,10.5,15.34083433
67.5,22.5,10,0,0,0,0,57.22222222,14.28,70.22,215.8,10.5,12.4105626
45,45,10,0,0,0,0,57.22222222,14.28,70.22,215.8,10.5,10.37660929
80,0,20,0,0,0,0,57.22222222,14.28,70.22,215.8,10.5,18.6158439
60,20,20,0,0,0,0,57.22222222,14.28,70.22,215.8,10.5,17.2368925
40,40,20,0,0,0,0,57.22222222,14.28,70.22,215.8,10.5,12.4105626
100,0,0,0,0,0,0,48.88888889,22.82,37.84,215.27,34.34,11.0316112
90,0,0,10,0,0,0,48.88888889,22.82,37.84,215.27,34.34,9.99739765
90,0,0,10,0,0,0,48.88888889,22.82,37.84,215.27,34.34,9.30792195
90,0,0,10,0,0,0,48.88888889,22.82,37.84,215.27,34.34,7.894496765
80,0,0,20,0,0,0,48.88888889,22.82,37.84,215.27,34.34,9.6526598
80,0,0,20,0,0,0,48.88888889,22.82,37.84,215.27,34.34,7.92897055
100,0,0,0,0,0,0,65.55555556,22.82,37.84,215.27,34.34,13.44477615
90,0,0,10,0,0,0,65.55555556,22.82,37.84,215.27,34.34,13.03109073
90,0,0,10,0,0,0,65.55555556,22.82,37.84,215.27,34.34,11.0316112
90,0,0,10,0,0,0,65.55555556,22.82,37.84,215.27,34.34,8.9631841
80,0,0,20,0,0,0,65.55555556,22.82,37.84,215.27,34.34,12.87251132
80,0,0,20,0,0,0,65.55555556,22.82,37.84,215.27,34.34,10.49382015
100,0,0,0,0,0,0,98.88888889,2.95,51.91,218.7,40.14,30.26798323
100,0,0,0,0,0,0,110,35.64,26.85,208.6,32.51,20.20163801
100,0,0,0,0,0,0,57.22222222,3.48,59.64,211,31.88,13.789514
100,0,0,0,0,0,0,57.22222222,5.11,89.89,211,0,13.1000383
100,0,0,0,0,0,0,87.77777778,5.11,89.89,211,0,18.27110605
90,0,10,0,0,0,0,57.22222222,5.11,89.89,211,0,16.20267895
100,0,0,0,0,0,0,54.44444444,1.57,93.43,199,0,12.06582475
100,0,0,0,0,0,0,42.77777778,20.95,56.98,232.1,17.07,10.3421355
100,0,0,0,0,0,0,39.44444444,21.81,45.35,227.7,27.84,13.789514
100,0,0,0,0,0,0,85.55555556,18.34,32.13,275.8,44.53,34.473785
100,0,0,0,0,0,0,71.11111111,6.99,46.74,249,41.27,23.4421738
95,0,0,5,0,0,0,71.11111111,6.99,46.74,249,41.27,18.6158439
90.5,0,0,9.5,0,0,0,71.11111111,6.99,46.74,249,41.27,18.6158439
100,0,0,0,0,0,0,102.2222222,9.84,33.88,233,51.28,28.16508235
100,0,0,0,0,0,0,80,8.6,33.04,268.7,53.36,26.75165716
100,0,0,0,0,0,0,31.05,16.46,7.16,240,16.48,8.101625
90,0,10,0,0,0,0,19.15,16.46,7.16,240,16.48,10.790675
81,0,19,0,0,0,0,8.95,16.46,7.16,240,16.48,12.514425
92,0,0,0,8,0,0,17.15,16.46,7.16,240,16.48,11.65255
81,0,0,0,19,0,0,-3.65,16.46,7.16,240,16.48,19.409425
91,0,0,9,0,0,0,28.25,16.46,7.16,240,16.48,9.066925
80,0,0,20,0,0,0,23.95,16.46,7.16,240,16.48,9.9288
68,0,0,32,0,0,0,23.55,16.46,7.16,240,16.48,10.82515
52,0,0,48,0,0,0,20.25,16.46,7.16,240,16.48,10.68725
45,0,27,28,0,0,0,18.55,16.46,7.16,240,16.48,10.4804
72,0,28,0,0,0,0,-1.05,16.46,7.16,240,16.48,15.0311
100,0,0,0,0,0,0,31.05,16.46,7.16,240,16.48,8.274
90,0,10,0,0,0,0,19.75,16.46,7.16,240,16.48,11.032
80,0,20,0,0,0,0,8.35,16.46,7.16,240,16.48,14.82425
75,25,0,0,0,0,0,36.25,16.46,7.16,240,16.48,7.51555
50,50,0,0,0,0,0,41.45,16.46,7.16,240,16.48,6.6192
67.5,22.5,10,0,0,0,0,24.35,16.46,7.16,240,16.48,10.27355
45,45,10,0,0,0,0,29.05,16.46,7.16,240,16.48,8.8256
60,20,20,0,0,0,0,12.45,16.46,7.16,240,16.48,14.13475
40,40,20,0,0,0,0,16.65,16.46,7.16,240,16.48,12.1352
100,0,0,0,0,0,0,82.22,19.18,6.91,281,6.74,21.99505
100,0,0,0,0,0,0,115.56,19.18,6.91,281,6.74,25.545975
100,0,0,0,0,0,0,82.22,35.78,4.98,216,32.99,21.340025
100,0,0,0,0,0,0,115.56,35.78,4.98,216,32.99,25.30465
90,10,0,0,0,0,0,82.22,19.18,6.91,281,6.74,22.73971
90,10,0,0,0,0,0,115.56,19.18,6.91,281,6.74,25.7873
90,10,0,0,0,0,0,82.22,35.78,4.98,216,32.99,22.374275
90,10,0,0,0,0,0,115.56,35.78,4.98,216,32.99,24.029075
75,25,0,0,0,0,0,82.22,19.18,6.91,281,6.74,21.202125
75,25,0,0,0,0,0,115.56,19.18,6.91,281,6.74,23.822225
75,25,0,0,0,0,0,82.22,35.78,4.98,216,32.99,21.133175
75,25,0,0,0,0,0,115.56,35.78,4.98,216,32.99,23.37405
100,0,0,0,0,0,0,43.33,25.12,11.74,248,7.31,9.653
100,0,0,0,0,0,0,40.56,22.25,9.49,229,9.01,8.274
93.2,0,6.8,0,0,0,0,85.65,12.753,1.909,282,17.361,25.79
91.75,0,8.05,0,0.2,0,0,60,23.8,6.79,228.2,24.68,15.134525
91.75,0,8.05,0,0.2,0,0,80,23.8,6.79,228.2,24.68,17.147865
91.75,0,8.05,0,0.2,0,0,100,23.8,6.79,228.2,24.68,18.650975
91.75,0,8.05,0,0.2,0,0,60,22.78,11.19,232.7,13.53,11.032
91.75,0,8.05,0,0.2,0,0,80,22.78,11.19,232.7,13.53,12.693695
91.75,0,8.05,0,0.2,0,0,100,22.78,11.19,232.7,13.53,14.63119
91.75,0,8.05,0,0.2,0,0,60,1.98,4.47,235.5,12.15,16.210145
91.75,0,8.05,0,0.2,0,0,80,1.98,4.47,235.5,12.15,17.2375
91.75,0,8.05,0,0.2,0,0,100,1.98,4.47,235.5,12.15,18.485495
90.84,0,7.97,0,0.2,0.99,0,60,23.8,6.79,228.2,24.68,14.10717
90.84,0,7.97,0,0.2,0.99,0,80,23.8,6.79,228.2,24.68,16.28599
90.84,0,7.97,0,0.2,0.99,0,100,23.8,6.79,228.2,24.68,17.768415
90.84,0,7.97,0,0.2,0.99,0,60,22.78,11.19,232.7,13.53,11.921455
90.84,0,7.97,0,0.2,0.99,0,80,22.78,11.19,232.7,13.53,11.466385
90.84,0,7.97,0,0.2,0.99,0,100,22.78,11.19,232.7,13.53,13.452145
90.84,0,7.97,0,0.2,0.99,0,60,1.98,4.47,235.5,12.15,15.175895
90.84,0,7.97,0,0.2,0.99,0,80,1.98,4.47,235.5,12.15,16.127405
90.84,0,7.97,0,0.2,0.99,0,100,1.98,4.47,235.5,12.15,16.87896
89.08,0,7.82,0,0.19,2.91,0,60,23.8,6.79,228.2,24.68,13.010865
89.08,0,7.82,0,0.19,2.91,0,80,23.8,6.79,228.2,24.68,14.693245
89.08,0,7.82,0,0.19,2.91,0,100,23.8,6.79,228.2,24.68,16.072245
89.08,0,7.82,0,0.19,2.91,0,60,22.78,11.19,232.7,13.53,9.163455
89.08,0,7.82,0,0.19,2.91,0,80,22.78,11.19,232.7,13.53,10.35629
89.08,0,7.82,0,0.19,2.91,0,100,22.78,11.19,232.7,13.53,11.631865
89.08,0,7.82,0,0.19,2.91,0,60,1.98,4.47,235.5,12.15,12.61785
89.08,0,7.82,0,0.19,2.91,0,80,1.98,4.47,235.5,12.15,13.72105
89.08,0,7.82,0,0.19,2.91,0,100,1.98,4.47,235.5,12.15,14.762195
87.38,0,7.67,0,0.19,4.76,0,60,23.8,6.79,228.2,24.68,12.71438
87.38,0,7.67,0,0.19,4.76,0,80,23.8,6.79,228.2,24.68,14.058905
87.38,0,7.67,0,0.19,4.76,0,100,23.8,6.79,228.2,24.68,15.479275
87.38,0,7.67,0,0.19,4.76,0,60,22.78,11.19,232.7,13.53,8.846285
87.38,0,7.67,0,0.19,4.76,0,80,22.78,11.19,232.7,13.53,9.687475
87.38,0,7.67,0,0.19,4.76,0,100,22.78,11.19,232.7,13.53,10.70104
87.38,0,7.67,0,0.19,4.76,0,60,1.98,4.47,235.5,12.15,11.990405
87.38,0,7.67,0,0.19,4.76,0,80,1.98,4.47,235.5,12.15,13.05913
87.38,0,7.67,0,0.19,4.76,0,100,1.98,4.47,235.5,12.15,13.865845
100,0,0,0,0,0,0,65.85,11.46,2.27,402.7,25.01,20
100,0,0,0,0,0,0,115.85,7.04,3.65,233,24.15,26
0.59,0,57.22,34.89,0.57,4.17,2.56,76.11111111,18.08,8.22,285,25.73,31.0275
100,0,0,0,0,0,0,90.55555556,17.97,5.55,256.14,40.08,27.683425
100,0,0,0,0,0,0,92.22222222,22.7,7.08,237,27.37,18.375175
100,0,0,0,0,0,0,53,12.84,12.4,252,18.71,13.09
100,0,0,0,0,0,0,101.6,3.72,3.47,310,28.89,31.3
100,0,0,0,0,0,0,99,11.44,3.949,265,18.71,22.3
100,0,0,0,0,0,0,108.4,6.319,3.201,293,26.82,27.9
100,0,0,0,0,0,0,101.6,6.47,3.48,275,17.3,24.1
100,0,0,0,0,0,0,104.4,13.678,5.969,327,38.795,27.1
100,0,0,0,0,0,0,130,21.055,7.851,183.69,32.631,20.65
100,0,0,0,0,0,0,110,21.055,7.851,183.69,32.631,20.35
100,0,0,0,0,0,0,90,22.055,8.851,184.69,33.631,19.95
100,0,0,0,0,0,0,70,23.055,9.851,185.69,34.631,19.38
100,0,0,0,0,0,0,74.8,15.614,0.232,245.36,16.922,26.8
100,0,0,0,0,0,0,89.7,11.41,12.68,229.17,13.77,22.65
100,0,0,0,0,0,0,59,10.47,8.46,230,5.45,11.7
100,0,0,0,0,0,0,59,10.3,16.29,203,6.13,12
100,0,0,0,0,0,0,63,18.62,9.61,215,9.56,14.2
94.4,0,2.9,0,2.7,0,0,59,10.3,16.29,203,6.13,14.5
94.4,0,2.9,0,2.7,0,0,63,18.62,9.61,215,9.56,17
